Name,Rating,Review,Salaries,Interviews,Jobs,Benefits,Photos
Indian Army,4.7,(6.6k),9.6k,218,--,758,16
DMart,3.9,(6.7k),20k,592,195,504,18
Indiamart Intermesh,3.6,(6.5k),21.7k,833,231,536,27
Piramal Finance,4.2,(6.5k),13.1k,312,103,461,84
Virtusa Consulting Services,3.6,(6.5k),58.2k,701,249,349,23
HSBC Group,3.8,(6.4k),46.4k,573,106,1.2k,26
SMFG India Credit,3.9,(6.3k),11.5k,229,96,364,23
BigBasket,3.9,(6.2k),20.4k,525,92,414,36
Access Healthcare,3.7,(6.3k),30.4k,426,653,398,9
GlobalLogic,3.5,(6.2k),42.8k,711,50,560,21
Manappuram Finance,4.0,(6.2k),9.6k,242,6,254,38
HCL Group,3.5,(6.2k),38.7k,529,--,658,1
ICICI Lombard General Insurance Company,3.5,(6.1k),20.8k,388,224,409,26
Firstsource Solutions,3.5,(6.1k),25.4k,383,62,583,14
Siemens,4.0,(6.1k),35.7k,530,42,654,13
Swiggy,3.7,(6.1k),25.3k,626,219,388,22
Apollo Hospitals,4.0,(6.1k),17.4k,523,328,534,3
Shapoorji Pallonji Group,4.1,(6.1k),15.6k,461,61,662,14
UST,3.7,(6k),41.6k,626,641,421,27
Aurobindo Pharma,4.0,(6k),20.4k,310,18,478,9
Tata Capital,3.9,(6k),17.2k,309,5.8k,288,24
Mahindra Finance,3.8,(6k),12.2k,234,146,538,13
Standard Chartered,3.6,(6k),42.5k,338,9,327,--
Bosch Global Software Technologies,3.7,(5.9k),41k,401,28,663,21
Ashok Leyland,4.0,(5.8k),19.1k,342,2,660,16
Citicorp,3.6,(5.8k),55.6k,654,--,544,7
Hero MotoCorp,4.1,(5.8k),16.8k,445,--,616,11
Udaan,3.9,(5.8k),15.1k,377,4,707,16
CGI Inc,4.0,(5.7k),48.2k,590,450,380,6
Kalpataru Projects International,4.1,(5.7k),14.4k,362,2,244,23
NTT DATA,3.8,(5.7k),40.1k,791,10,557,2
Nagarjuna Construction Company,4.0,(5.6k),13.2k,479,13,438,13
SBI Cards & Payment Services,3.6,(5.6k),15.8k,346,113,359,14
IQVIA,3.7,(5.6k),32.7k,587,39,563,10
BNY,3.6,(5.5k),32.7k,410,58,562,1
Cyient,3.6,(5.5k),27.7k,348,173,461,3
Schneider Electric,4.1,(5.5k),27k,482,473,465,14
CBRE,4.1,(5.5k),19.7k,378,21,494,19
SBI Life Insurance Company,3.7,(5.5k),12.3k,334,12,351,25
Persistent Systems,3.6,(5.4k),48.5k,746,387,412,33
TVS Motor,3.8,(5.4k),17.1k,445,277,573,21
JustDial,3.5,(5.4k),15.7k,413,18,373,10
State Bank of India,3.9,(5.3k),12k,354,20,417,7
KEC International,4.0,(5.3k),14.2k,451,13,485,57
ITC Infotech,3.8,(5.3k),30.6k,436,69,307,11
Amdocs,3.6,(5.2k),38.1k,579,--,638,22
Utkarsh Small Finance Bank,3.6,(5.2k),11.9k,345,41,306,56
Atos,3.8,(5.1k),33k,423,75,480,10
Varun Beverages,4.0,(5.1k),12.6k,367,19,339,32
JBM Group,3.9,(5.1k),14.3k,382,79,365,22
vivo,4.0,(5.1k),12.9k,252,28,633,3
Lenskart,3.4,(5.1k),14.2k,554,216,370,48
