Name,Rating,Review,Salaries,Interviews,Jobs,Benefits,Photos
Diverse Lynx,3.4,(400),2k,24,58,7,10
Veeda Clinical Research,3.4,(400),1.5k,14,11,34,4
VIT University,4.1,(400),1.6k,36,81,27,--
WPP,2.9,(401),2.8k,23,68,18,10
Rainbow Hospital,3.6,(400),1.7k,21,1,13,--
Elentec Power India (EPI) Pvt. Ltd.,4.0,(400),1.4k,38,21,52,1
Dynacons Systems & Solutions,3.7,(400),1.4k,28,34,18,--
Berar Finance,3.6,(400),1k,22,--,6,2
Paragon Footwear,4.0,(400),1.3k,21,--,10,--
Centre For Sight,3.8,(399),1.3k,21,43,33,3
XL Health,4.2,(399),1.4k,24,--,55,9
Karvy DigiKonnect,3.2,(399),1.2k,8,--,26,--
Tega Industries,3.7,(400),1.5k,28,7,34,3
Lumino Industries,3.7,(399),1.1k,25,--,16,--
US Tech Solutions,3.5,(398),2.1k,22,--,25,--
Polybond India,3.7,(398),1.5k,19,20,27,--
Campus Activewear,4.0,(398),1.6k,24,8,12,5
G. D. Foods MFG (TOPS),3.9,(398),975,24,16,33,4
Scientific Publishing Services,3.8,(398),1.3k,18,--,44,--
Elecon Engineering,4.2,(398),1.5k,24,14,33,--
Synokem Pharmaceuticals,3.9,(398),1.6k,17,5,13,--
Coronis Health,3.3,(398),1.2k,28,3,14,--
Bellsonica Auto Component,4.0,(398),1.3k,24,2,31,--
Wagh Bakri Tea Group,4.1,(398),1.3k,32,2,40,1
SRM University,3.6,(397),1.5k,32,6,33,--
Bliss Gvs Pharma,4.1,(397),1.7k,30,8,17,--
Intelliswift - An LTTS Company,3.2,(397),2.4k,32,4,16,9
Yellow Diamond,4.0,(397),1.1k,24,6,17,--
Apmosys Technologies,3.0,(397),2.9k,56,--,13,--
Indraprastha Gas,3.8,(396),1.7k,21,--,32,--
AgreeYa Solutions,3.1,(396),2.5k,27,10,17,--
Anaptyss,4.0,(396),998,20,--,8,--
Rubicon Research,3.3,(396),2k,28,28,27,--
Accel Frontline,4.3,(395),754,7,--,42,--
SRMB SRIJAN,3.5,(395),1.2k,37,42,24,2
Vidal Health Tpa,3.3,(395),1.2k,32,18,35,6
JBS Enterprises,3.1,(396),994,27,5,39,5
Brick&Bolt,3.2,(395),1.5k,40,19,8,23
Amri Hospital,4.0,(395),1.2k,28,--,32,2
Rail Vikas Nigam,3.5,(395),1.1k,15,--,30,--
ANTOLIN,3.7,(395),1.8k,29,4,29,5
Sleek International,3.6,(394),1.2k,32,--,45,1
Captain Steel India Limited,3.7,(394),943,26,10,12,50
Satin Finserv,4.2,(394),734,25,14,11,2
Mobileum,3.2,(395),2.4k,43,11,89,--
World Vision,4.2,(394),729,22,--,31,3
SBI Payment Services,3.8,(393),1.3k,34,7,24,2
JUSTO Realfintech,4.3,(395),744,124,28,7,23
Moolchand Hospital,4.1,(393),757,23,9,12,3
Utkarsh India,3.6,(394),1.3k,54,2,27,--
Awign Enterprises,3.6,(393),1.2k,48,47,13,2
Methodex,3.9,(393),1.3k,17,12,32,2
Bss Microfinance,3.8,(393),880,19,2,13,2
Universal Mep Projects & Engineering Services,3.7,(392),1.1k,22,--,7,--
Pranav Vikas India Private Limited,3.7,(392),1.3k,34,2,31,11
Hathi Cement,4.1,(392),1.2k,25,9,27,--
Gufic Biosciences Limited,3.1,(392),1.5k,16,15,23,3
Civica India,3.0,(391),2.2k,39,5,20,17
Moder Solutions,3.3,(392),2.3k,30,24,12,--
TRL Krosaki Refractories,3.9,(391),1.6k,37,--,37,2
Eisai Pharmaceuticals,4.0,(391),1.3k,27,--,50,--
Sharda University,3.7,(392),1.7k,27,11,36,2
Alfanar,4.0,(391),961,26,35,60,4
Concord Biotech,3.8,(394),2k,24,13,25,1
Data-Core Systems,3.0,(390),1.2k,26,7,37,--
Adani Electricity,3.4,(391),1.8k,26,--,16,2
Toyota Financial Services,3.6,(390),1.3k,15,3,26,--
Vaibhav Global,3.3,(390),1.6k,29,35,39,21
Runwal Group,3.9,(390),1.8k,26,--,39,--
AQuity Solutions India,3.6,(391),2k,41,--,24,15
Transact Global,4.6,(390),416,95,11,11,3
Capital Small Finance Bank,3.5,(389),1.3k,13,2,24,--
Xdbs,2.6,(389),1.6k,39,--,42,1
Sj Contracts,4.1,(389),1.2k,27,25,29,--
Foundit,3.1,(389),2.1k,37,--,1,--
T&M Services consulting,3.7,(389),1.2k,24,2,23,--
Kaddacon Systems,4.6,(389),1,18,--,--,2
Vectus Industries,4.1,(389),1.3k,19,3,56,--
QUADRANT TECHNOLOGIES INDIA PRIVATE LIMITED,3.6,(389),2.3k,62,37,16,4
doodleblue innovation,4.2,(390),1.3k,48,6,64,30
Hitachi Vantara,3.6,(390),5.3k,7,23,38,--
Hygienic Research Institute,3.8,(389),1.2k,19,13,42,3
Light Microfinance,3.9,(388),955,19,4,22,4
Apcer Life Sciences,3.4,(390),1.3k,23,1,25,9
Jawahar Navodaya Vidyalaya,4.4,(388),535,20,--,33,7
Uneecops Technologies,3.7,(388),2.2k,22,2,34,3
Endava,3.4,(388),2.5k,31,--,25,--
Labournet Services,3.7,(388),902,25,7,53,--
Heavy Engineering Industries & Shipbuilding,3.9,(387),667,17,--,6,--
SOTC Travel Limited,4.4,(387),1.1k,37,17,52,--
SiliconIndia,2.7,(387),1.8k,31,2,8,1
GIVA Jewellery,3.0,(387),1.3k,33,--,7,--
DCM Shriram Industries,4.1,(386),1.6k,20,--,18,1
Jaguar Security Services,4.5,(387),996,33,4,33,--
Evolent Health International,3.9,(387),1.8k,30,3,39,7
Andromeda Sales ans Distribution PVT LTD,3.2,(386),1.5k,22,7,15,--
K L University,3.8,(386),1.2k,50,8,31,--
Vedant Fashions,3.9,(386),1.3k,22,2,26,6
Duroflex,3.9,(386),1.7k,27,21,22,2
MCM Telecom Equipment,3.9,(385),862,18,--,43,1
Srei Equipment Finance,4.2,(387),996,11,--,47,2
Choice Consultancy Services,3.5,(386),1.2k,17,5,7,--
Versuni India Home Solutions,3.4,(385),1.4k,29,1,12,1
Gujarat Alkalies & Chemicals,4.6,(385),1.5k,28,10,45,--
METRO Global Solutions Center,3.5,(385),1.5k,23,--,37,4
Kirloskar Toyota Textile Machinery,4.5,(386),789,21,2,45,5
A-1 Fence Products,3.9,(384),1k,63,--,56,28
TMF Group,3.8,(384),2k,30,47,22,--
Mobiloitte Technologies,3.1,(384),1k,37,15,34,24
Pharmarack Technologies,3.5,(384),1.8k,35,1,27,--
Amoli Organics,3.8,(384),1.9k,17,--,31,--
Glaze Trading India,4.4,(384),879,17,--,45,--
Emami Paper Mills,4.1,(383),835,58,3,28,4
Sunflag Iron and Steel,3.6,(383),1.2k,32,6,31,--
RWS Group,3.6,(396),2.3k,34,6,16,6
Sri Aurobindo Society,3.8,(385),772,53,--,37,3
Kokuyo Camlin,3.8,(384),1.2k,25,7,30,--
Department of Agriculture,4.3,(383),1.3k,47,--,24,--
Parul University,3.2,(383),1.3k,28,10,34,7
Balrampur Chini Mills Limited,4.0,(383),1k,40,--,34,2
Zara,3.5,(383),830,43,--,43,--
Toshiba Transmission & Distribution Systems,3.9,(383),1.8k,27,3,42,6
TCG Lifesciences,4.1,(383),1.2k,14,--,38,--
Associated Road Carriers,4.1,(383),1.2k,26,6,16,--
TCI Supply Chain Solutions,4.0,(383),899,23,--,32,1
Planetcast,3.5,(383),1.6k,32,--,24,--
Priya Cement,4.1,(387),1.1k,19,--,36,1
Swiss Re,3.8,(382),3k,52,335,32,--
Yubi,4.2,(383),2.1k,45,--,10,--
Cashpor Micro Credit,3.5,(384),869,29,--,24,--
Lobo Staffing Solutions,4.1,(382),1.3k,19,--,18,--
Royal Orchid Hotels,4.0,(382),959,16,61,46,1
Wildcraft,3.6,(382),1.5k,14,--,38,2
Subway,4.2,(382),911,30,1,34,6
Mitra SK,3.8,(382),1.1k,17,1,29,2
SEIL Energy India,4.0,(382),1.5k,19,--,37,--
Aquasub Engineering,3.8,(381),1.3k,9,1,35,--
Rio Tinto,3.5,(382),1.8k,51,--,36,6
R.K.M Powergen,3.9,(384),1.2k,24,--,34,4
Hilex,3.9,(382),1.2k,18,9,35,--
VST Industries,3.8,(381),981,19,--,39,--
Ess Kay Fincorp,4.1,(381),843,13,58,34,--
Ace Designers,4.0,(381),1.8k,30,11,43,2
Satyam Venture Engineering Services,3.3,(381),2.2k,26,96,20,--
Treebo Hotels,3.3,(380),1.5k,29,133,43,6
Dimension Data,4.5,(380),1.2k,8,--,38,1
Borosil Glass Works,3.7,(379),1.7k,14,4,26,4
New Opportunity Consultancy,4.1,(380),1k,12,85,22,--
KaaShiv InfoTech Company,4.8,(380),227,37,--,2,--
Caparo Maruti,4.1,(379),1.2k,14,--,30,--
Seth M R Jaipuria School,3.4,(381),943,32,1,35,8
Trident Hotels,4.0,(379),988,18,--,64,1
Time Technoplast,3.6,(379),1.8k,16,3,39,--
Tribhovandas Bhimji Zaveri,3.9,(379),1.1k,9,6,50,1
PropTiger.com,3.8,(379),1.2k,24,--,70,9
Zebronics,3.9,(379),1.3k,41,23,34,--
Health India Tpa Services,3.1,(379),1.4k,27,5,28,--
Mahendra’s Institute,3.1,(378),687,11,1,37,--
Offshoot Agency,3.3,(378),1.2k,27,--,22,2
Toshiba JSW Power Systems,4.3,(378),1.6k,22,14,50,9
Harjai Computers,3.2,(378),1.8k,36,17,69,--
Network 18,3.3,(378),2.6k,34,1,28,1
Lam Research,3.7,(378),2.9k,59,107,32,--
JSW One Platforms,2.9,(378),1.8k,48,5,8,8
N Ranga Rao And Sons,3.8,(379),1k,15,4,29,--
RedBus,4.0,(377),2k,43,9,47,48
Compunnel,3.7,(377),2k,31,19,23,7
Lalitha Jewellery,4.0,(377),1.1k,23,11,27,--
6D Technologies,2.8,(377),2.8k,48,--,14,--
VGM Consultants,3.4,(377),1.1k,19,--,9,--
Actalent Services,3.5,(377),1.8k,24,38,1,20
Descon Engineering,4.0,(376),681,22,--,57,2
BLS International Services,3.3,(376),1.2k,25,10,12,7
McNROE,4.0,(376),1.1k,25,23,26,2
Hitachi Hi-Rel Power Electronics,3.7,(376),1.6k,26,8,36,--
Vini Cosmetics,4.0,(376),873,18,--,19,--
Birla Cement,4.1,(376),1.2k,30,--,32,1
GTPL-KCBPL,4.0,(375),498,47,3,8,20
SMC Corporation,3.7,(375),2.1k,34,18,17,--
MapmyIndia,3.4,(375),1.8k,31,2,27,--
Pegasystems,3.4,(375),3.2k,35,25,52,3
EXEDY,3.8,(375),1.5k,25,4,54,--
Coditas Technologies,3.7,(375),2.3k,97,5,12,10
Oil India,4.1,(375),931,23,--,31,3
Cedcoss Technologies,3.0,(375),1.9k,52,9,26,--
Technocon Services,3.2,(375),917,50,7,17,--
Autocomp Corporation Panse,3.4,(375),1.5k,25,8,13,1
RV Solutions,3.7,(375),1.3k,17,1,31,2
Council of Scientific and Industrial Research,4.1,(375),1.2k,27,--,9,--
Hollister Medical,4.1,(375),1.2k,27,16,42,--
ATLBattery Technology (India) Private Limited,3.6,(381),1.2k,66,2,10,16
Shaadi.com,3.5,(374),1.4k,35,23,13,--
Karvy Innotech,2.9,(374),1.8k,31,13,16,--
Moser Baer,4.0,(374),671,9,--,63,--
Syncfusion,3.3,(374),2.2k,60,2,36,--
Accel IT Services,3.5,(374),1.6k,24,15,8,--
Halonix Technologies,3.7,(374),1.4k,21,8,28,1
Cognizant Solutions Corp,3.7,(374),3k,63,--,9,--
Woodenstreet.com,3.4,(375),1.6k,28,4,16,5
Asti Electronics India,4.1,(374),1.3k,29,--,51,2
Groww,3.7,(374),2.7k,93,8,18,3
Tata Digital,2.3,(374),2.1k,49,8,39,16
ITSource Technologies,2.9,(373),1.8k,33,--,20,--
Red Tape,3.2,(374),1.3k,27,2,6,14
Sequel Logistics,3.9,(375),1.2k,20,1,21,1
Ample Technologies,3.7,(373),1.6k,25,71,32,4
Eaton India Innovation Center,3.7,(373),2.5k,44,--,42,--
Kpmg Resource Centre,3.5,(373),2.4k,28,--,15,2
B S R & Co Llp,3.1,(373),4k,25,--,16,--
Teachnook,2.8,(373),419,91,--,2,4
Johnson Controls Hitachi Air Conditioning,3.7,(372),1.5k,23,--,3,--
MSM Unify,4.0,(374),513,87,--,39,4
The Park Hotels,3.9,(372),1.2k,10,--,49,--
Aarti Drugs,3.5,(372),1.6k,25,5,30,--
Al Tasnim Enterprises,3.6,(371),1.3k,18,--,30,--
CityMall,3.2,(371),1.5k,36,2,13,2
Hyundai Engineering and Construction,4.3,(371),536,26,--,41,1
Allegis Global Solutions,3.3,(371),1.8k,17,5,22,--
Roquette Riddhi Siddhi,3.9,(371),1.3k,15,25,37,--
Stefanini,2.7,(371),2.1k,38,15,19,1
Enterprise Growth Accelerator,3.5,(371),609,11,--,4,--
Maxxis Rubber,3.5,(373),1.8k,33,2,45,3
NCCCL,3.4,(370),1.1k,18,2,30,--
GGS Information Services,3.8,(370),2k,30,3,31,--
Olectra Greentech,3.7,(370),1.4k,133,22,133,--
Ceat Specialty Tyres,3.8,(370),1.3k,22,--,22,--
Zf Wind Power,4.0,(370),1.5k,18,--,45,--
Worldline,3.7,(377),2.6k,43,101,4,15
MSP Steel & Power,3.8,(370),1.1k,37,7,23,9
Hindustan Syringes & Medical Devices,4.1,(370),1.1k,27,10,31,1
Godrej Infotech,3.6,(370),2.1k,33,17,23,41
Jay Chemical Industries,4.0,(370),1.5k,26,--,33,--
Paperchase Accountancy,2.9,(370),1.8k,36,6,19,16
UNext,3.0,(370),1.8k,44,25,8,--
Mitsubishi Electric Automotive India,4.4,(375),956,30,--,53,--
Protiviti India Member,2.7,(369),1.6k,38,213,16,--
Audi,3.8,(369),1.2k,17,1,53,3
Ryan International School,3.2,(369),975,19,3,34,--
Modern V.R. Security Force,3.9,(369),825,14,1,13,1
Sarvagram Fincare,3.8,(368),1.1k,19,11,10,13
Avineon India,4.0,(369),1.4k,31,10,30,--
Savista Global Solutions,4.2,(369),1.5k,33,43,10,16
Kama Jewelry,4.7,(369),199,95,28,247,--
TestingXperts,3.5,(369),2.3k,60,1,28,21
SquadStack.ai,3.7,(369),926,49,19,33,--
Escon Elevators,3.7,(373),966,33,23,49,43
Bal Pharma,3.3,(369),1.3k,25,2,23,--
Adient,3.9,(369),1.9k,21,1,62,--
Transguard Group,3.7,(368),505,21,--,48,4
Advanced Micro Devices,3.7,(370),3.6k,54,187,19,12
Stellar Innovations,3.4,(371),2.1k,29,13,16,2
EPIQ Systems,3.4,(369),2.1k,18,11,34,10
Cotmac Electronics,3.6,(368),1.6k,25,21,15,--
Trane Technologies,3.8,(373),2.4k,30,115,17,--
Padmini VNA Mechatronics,4.0,(370),1.5k,29,2,50,9
Netcore Pvt. Ltd.,4.1,(368),1.8k,33,25,16,55
People Group,3.3,(368),1.5k,16,22,31,2
Yalamanchili Software Exports,2.9,(368),1.4k,18,6,26,1
Zopper,3.2,(368),1.5k,30,3,22,16
ACB (India),3.8,(368),1.5k,20,4,37,4
VIKRAN Engineering & Exim,4.1,(368),1.1k,44,--,15,3
Dosti Realty,4.3,(368),1.2k,20,1,62,2
Kraft Heinz,3.0,(368),1.5k,30,62,31,1
Kalkine Solutions,4.3,(369),905,24,7,50,4
Futurense Technologies,4.0,(367),818,56,13,38,54
AVL,3.5,(367),1.7k,30,--,36,1
Wipro GE Health Care,4.0,(367),1.6k,17,--,51,--
Ben Franklin Opticians,3.9,(367),814,25,--,29,3
Kalkine Solutions,4.3,(369),905,24,7,50,4
Windlas Biotech,3.9,(367),1.4k,27,6,27,--
Futurense Technologies,4.0,(367),818,56,13,38,54
Nabard Financial Services,4.1,(367),872,22,1,21,1
Carraro,3.9,(367),1.5k,15,1,30,--
Kimberly-Clark,3.8,(367),1.8k,19,24,30,4
Adglobal360,3.3,(367),2.3k,32,1,14,1
Yamaha Motor India Sales,4.0,(367),988,19,--,20,--
Globtier Infotech Limited,3.2,(367),1.9k,20,30,19,--
Deenanath Mangeshkar Hospital,3.8,(367),1k,17,--,30,--
CR3 Group,3.8,(367),1.2k,28,12,8,2
Ssipl Lifestyle,3.9,(366),947,6,7,32,--
Tata Toyo Radiator,,,--,--,--,--,--
Watchyourhealth.com,4.5,(367),377,56,1,22,2
SOPAN,4.0,(371),1.2k,23,3,24,2
HBL Global,4.2,(366),369,9,--,42,--
Fidelis Technology Services,3.5,(366),1.8k,31,--,23,--
Zydex Industries,3.6,(366),1.1k,22,20,34,--
Vee Healthtek,3.8,(379),1.9k,11,94,8,--
Orchid Pharma,3.6,(372),1.2k,47,--,17,--
DotPe,3.1,(365),1.6k,43,--,11,5
Oceaneering International,3.9,(365),2k,44,7,41,16
NXP Semiconductors,3.5,(365),2.7k,49,4,25,--
Kushal's Fashion Jewellery,4.2,(365),754,38,29,10,84
Mahindra Teqo,4.0,(365),1.2k,27,1,26,--
International Game Technology,3.3,(365),1.3k,28,--,29,--
Prem Motors,3.7,(365),1.2k,16,19,25,4
Sekisui Dljm Molding,3.8,(368),1.5k,23,9,29,--
Vatika Group,4.1,(364),1.4k,17,--,31,--
Infocepts Technologies,3.6,(365),3k,42,53,22,3
Muthoot Capital Services,3.6,(366),1k,14,7,14,3
Satguru Travels and Tour Services,2.8,(364),1.4k,33,2,30,6
Control Print,4.0,(364),1.2k,85,50,34,1
Cygnet Infotech,3.5,(364),2.3k,20,--,35,8
Telstra,3.8,(364),3k,61,2,27,27
Akumentis Healthcare,3.5,(364),846,20,--,30,--
Rashtriya Chemicals and Fertilizers,4.4,(364),878,20,--,19,--
Dentsu Aegis Network,3.2,(364),3.2k,36,11,13,6
Awfis,4.4,(369),1.3k,48,9,12,3
Sahayog Multistate Credit Co-operative Society,3.4,(363),967,16,1,12,2
Senvion,3.9,(364),1.6k,27,1,17,6
Vascon Engineers,3.7,(363),1.2k,28,6,14,2
Ventura Securities,3.9,(363),1.3k,33,9,31,4
Zoomcar,3.6,(363),1.7k,24,--,41,6
MJ Biopharm,3.5,(363),1.5k,23,7,28,1
Hartek Group,4.2,(363),844,71,37,57,40
Udaan India - The Original Visa Company,4.3,(362),1.3k,23,--,2,--
Hindustan Urvarak & Rasayan,3.3,(370),1.6k,43,--,16,--
Park Plus,2.7,(362),1.9k,54,8,10,--
National Highways Authority of India,3.9,(362),1.3k,25,--,11,1
Lido Learning,2.2,(363),1.4k,55,--,38,2
MUFG Bank,3.5,(367),2.7k,19,164,11,--
Clarus Rcm Infotech,2.7,(362),1.3k,44,2,10,--
Can Fin Homes,2.8,(362),1.2k,22,5,20,--
Bain & Company,3.7,(362),6k,121,97,30,9
Medall Healthcare,3.6,(362),1.1k,6,--,33,2
Vijay Nirman Company,3.7,(362),866,8,2,57,--
Hindustan Latex Family Planning Promotion Trust,4.2,(369),651,34,59,40,1
Ircon International,3.9,(362),1k,31,--,34,--
M K Agrotech Private Limited,4.4,(362),511,58,12,25,--
Shah Technical Consultants,3.6,(362),977,24,1,24,--
Avantor,3.6,(361),2.6k,37,42,26,11
Aegis Logistics,3.6,(362),1.4k,38,1,30,--
AVASOFT,2.4,(362),1.6k,204,--,25,11
Adarsh Credit Co-Operative Society,4.4,(361),508,5,--,49,--
Inventys Research,4.3,(361),826,11,6,13,--
Himadri Speciality Chemical Limited,3.5,(361),1.8k,32,--,38,--
e-Zest,3.9,(361),3.4k,30,22,24,--
Bristol-Myers Squibb,3.5,(361),2.2k,39,55,12,--
Kyndal India,3.6,(361),3.4k,6,--,49,--
Multiplier Brand Solutions,3.7,(361),964,12,2,23,1
Irclass Systems And Solutions,4.1,(361),1k,38,20,22,--
Jumio,3.9,(360),1k,18,13,42,3
JUNIPER GREEN ENERGY,4.6,(371),891,37,--,20,2
Newt Global,4.4,(360),868,75,74,27,--
Festo,3.7,(360),1.9k,29,7,38,--
L&T Defence,3.9,(360),2k,31,--,42,--
Unique Identification Authority of India,3.7,(360),1.1k,14,--,16,--
Holcim,3.6,(359),1.9k,24,41,39,1
DEN Networks,3.9,(359),1.5k,15,--,28,--
Valvoline Cummins,4.0,(359),1.5k,16,8,30,--
Red Health,3.4,(362),860,35,3,13,23
Adama,4.1,(359),1.1k,19,2,29,--
Motilal Oswal Asset Management Company,4.3,(361),524,79,--,7,--
TMEIC,3.8,(359),1.6k,21,7,40,3
Polyhose,3.8,(359),1.8k,19,9,25,6
Patil Group,3.5,(359),1.5k,35,8,34,1
Mahindra Insurance Brokers,3.3,(359),1.1k,12,5,41,--
Listenlights,3.7,(365),1.4k,37,--,18,--
Fluper,3.8,(358),532,27,10,43,--
Khimji Ramdas,3.7,(358),896,21,7,30,--
Plasser India,4.0,(359),1.8k,26,--,43,--
CESC,3.8,(358),1.6k,41,--,37,--
KLJ GROUP,3.3,(358),1.5k,18,3,12,9
eMudhra,3.4,(359),1.7k,20,--,19,6
Taco Bell,4.1,(359),1.1k,20,--,15,1
ESAB,3.9,(358),1.6k,28,19,39,--
Lion Engineering Consultants,3.4,(358),896,16,2,16,1
Zee Laboratories,3.7,(358),894,42,3,17,1
Darwinbox,3.1,(358),2.5k,56,28,24,9
Jms Mining Services,3.9,(358),1.1k,43,3,30,--
Outpace Consulting Services,4.6,(357),143,108,1,29,3
Zuari Cement,4.3,(357),1.2k,26,2,31,1
MYCPE ONE,3.8,(358),1.2k,27,--,34,--
Vem Technologies,3.6,(357),1.4k,35,13,26,--
Shiash Info Solutions,3.0,(357),260,31,--,19,1
ICRA Analytics,3.0,(357),1.6k,49,10,34,43
RHI Magnesita,3.8,(357),1.4k,22,--,17,--
Gyproc,3.8,(357),1.1k,17,--,51,--
Aptean,3.0,(358),2.5k,54,21,38,--
Clariant Chemicals,4.1,(356),1.6k,17,5,47,--
Aditya Birla Memorial Hospital,4.5,(356),836,38,26,26,20
Volvo Trucks,4.0,(356),1.7k,33,--,28,1
Mars,3.8,(356),1.1k,20,7,15,6
Debtcare Enterprises,4.3,(356),319,13,2,67,31
o9 Solutions,3.4,(356),3.7k,52,44,28,3
Bluechip Corporate Investment Centre,3.7,(356),1.1k,12,42,21,1
Theme Engineering Services,3.7,(356),1k,18,7,24,--
Hical Technologies,3.6,(356),1.6k,25,9,25,--
NU Vista,4.1,(355),1.2k,12,--,39,--
NIKE,3.9,(355),2.7k,52,2,27,--
Synergies Castings,3.8,(355),755,13,1,10,6
Mit World Peace University,4.0,(355),1.1k,24,1,25,--
IIT Bombay,4.4,(355),1.7k,30,1,29,1
Turing,3.0,(354),1.8k,120,35,10,--
Praxis Services,3.3,(355),1.1k,33,3,30,7
Rushil Decor,4.0,(355),1k,19,5,16,1
Walplast Products Pvt Ltd,4.0,(356),1.3k,37,77,33,7
Indchemie Health Specialities,3.7,(355),937,25,4,26,1
Schaeffer & Sam,3.3,(355),762,13,--,7,--
Coding Ninjas,3.8,(356),1.5k,61,6,5,11
Sri Sri Tattva,3.6,(355),1.2k,17,--,21,--
Rainbow Childrens Hospital,3.8,(355),1.1k,27,20,39,2
Han Digital,2.8,(355),785,37,4,2,--
Zet Town,3.4,(358),1k,37,2,2,6
Aloha Technology,2.5,(356),1.8k,39,5,39,--
Integrated Wireless Solutions,3.9,(355),1k,18,1,21,--
Zet Town,3.4,(358),1k,37,2,2,6
Integrated Wireless Solutions,3.9,(355),1k,18,1,21,--
MAHLE Behr India,3.6,(354),840,13,8,62,--
Aarti Steels,3.8,(354),1.4k,38,5,29,6
Pharmed,4.7,(357),347,43,3,21,1
Recipharm Pharmaservices,3.8,(354),1.6k,9,--,32,1
L&T Valves,3.7,(354),1.9k,15,1,27,--
Merit Data and Technology,3.9,(354),1.7k,22,20,9,180
Renewsys India,3.7,(354),1.5k,30,6,26,1
Jasper Colin,3.4,(355),844,48,2,39,3
Springer Nature in India,3.9,(353),2.5k,42,4,26,6
Pitaara,4.2,(355),536,16,--,1,--
Sata Vikas India,3.6,(353),954,37,--,39,--
AceMicromatic Group,4.3,(353),1.2k,19,16,39,3
Somic ZF Components,4.2,(353),1.2k,18,--,26,--
Kalyani Motors,3.3,(353),1.3k,20,18,17,--
EXO Edge,3.5,(353),1.3k,41,4,11,28
Groz Engineering Tools,4.1,(353),1.4k,22,16,34,6
Urban Ladder,3.7,(353),1.6k,46,--,30,17
L&T–MHI Power Boilers,4.1,(352),1.5k,12,--,40,--
Pps Motors,3.9,(352),1.1k,16,--,8,1
Halliburton,3.6,(353),1.4k,37,35,33,5
Gtpl Broadband,3.9,(352),1.3k,20,--,38,5
Path Infotech,3.3,(352),1.7k,24,32,29,--
Sakthi Auto Components,3.2,(352),1.1k,12,10,24,--
CKA Birla Group,3.9,(353),1.4k,22,--,28,--
V2Solutions,3.4,(351),1.3k,50,4,37,16
Myk Schomburg,3.8,(351),1k,22,--,21,--
E-Solutions,3.4,(351),1.6k,16,--,9,--
ILJIN ELECTRONICS,3.8,(351),1k,25,--,17,6
Signode,3.7,(352),1.5k,23,10,34,1
Arabian Industries,3.9,(350),923,17,--,31,--
The Sleep Company,4.2,(350),1.1k,31,41,1,--
ESAF CO-OPERATIVE,3.5,(350),889,23,--,21,--
Selec Controls,3.4,(350),2k,33,26,22,5
Lucas Indian Service,4.1,(350),1.1k,26,--,25,9
Brawn Group,3.5,(351),1.2k,22,10,17,--
Corizo,3.4,(352),439,79,--,2,8
ShopKirana,3.9,(349),1.2k,18,--,28,--
Furukawa Minda Electric,4.1,(349),968,8,--,32,2
Aurigene Pharmaceutical Services,4.1,(355),1.2k,28,1,23,1
Tamilnad Mercantile Bank,2.4,(349),1.1k,19,--,16,3
Vashi Integrated Solutions Limited,3.8,(349),1.6k,24,141,27,12
Teleysia Networks,3.4,(349),673,14,9,29,--
Essilor,4.0,(349),1.5k,16,21,21,--
63 Moons Technologies,3.7,(349),1.9k,29,26,34,--
Nava Limited,3.8,(349),1.2k,24,5,29,1
EqualizeRCM Services,3.8,(349),1.2k,102,3,18,12
ADNOC,4.3,(349),860,35,--,31,1
SNVA Group,3.4,(348),1k,28,59,30,4
Jaypee Cement,4.0,(348),892,19,--,43,2
Machino Plastics,3.5,(350),1.5k,30,7,14,1
Jtekt Sona Automotive India,4.3,(348),811,17,--,64,--
Pricol Precision Products,3.9,(347),1.2k,18,--,32,--
Aeronautical Development Agency,4.2,(348),1.9k,20,--,20,--
Scaleneworks,3.5,(347),1.4k,13,2,7,--
Girmiti Software,4.1,(347),1.5k,18,21,11,--
Decimal Point Analytics,2.7,(347),2.1k,49,--,14,--
Techolution,3.8,(347),1.1k,78,5,41,--
Global Aluminium,3.8,(347),944,19,7,18,1
DISYS,3.1,(346),2.1k,29,--,20,--
Polyplastics Industries (I),3.8,(346),1.4k,20,8,26,--
Shree Renuka Sugars,4.1,(346),1.2k,20,1,24,--
Lloyd Insulations,3.4,(346),1.3k,23,1,24,2
Dinshaws,3.9,(352),1.1k,11,4,21,3
InfodriveIndia,4.0,(349),555,26,--,114,--
DCDC Kidney Care,3.9,(346),547,21,5,9,1
Technosoft Engineering Projects Limited,3.6,(346),1.5k,36,47,18,53
Silverlink Technologies,3.9,(346),415,18,--,27,--
Delhi Metro Rail Corporation,4.2,(346),1.1k,17,--,32,--
Holisol Logistics,3.8,(346),1.2k,15,--,31,--
GITAM University,3.6,(346),1.3k,20,12,21,--
Kerala State Electricity Board,4.2,(346),1.3k,18,2,29,2
Abbott Nutrition International,4.1,(346),948,15,--,32,--
Hindustan Wellness,3.2,(345),925,39,10,11,18
Pfizer Products India,3.7,(345),1.4k,11,--,33,--
Cadence Design Systems,3.8,(348),3.1k,69,205,39,--
TP Central Odisha Distribution,3.7,(351),992,43,2,19,3
Sphinx Worldbiz,3.5,(346),1.5k,41,--,15,1
Sigmoid,3.7,(345),2.7k,91,49,19,10
Sphinx Worldbiz,3.5,(346),1.5k,41,--,15,1
UCO Bank,3.6,(345),959,20,--,38,3
Pfizer Products India,3.7,(345),1.4k,11,--,33,--
